the_geom,cartodb_id,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cost_estimate,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E6100000000000A0798052C000000060525F4440,4553,0101000020110F000070AF062C616D5FC1C8CEC77229FA5241,40.744701385498,-74.0074234008789,Manhattan,NB,New Building,121190308,1089807,NB,134419520,false,908240,7/14/2020,7/14/2021 12:00,76,11TH AVENUE,104,NAF CONSTRUCTION MANAGEME,RESIDENTIAL: APARTMENT HOUSES,36,373
0101000020E610000000000020CB6F52C000000060525F4440,4554,0101000020110F0000AD40494C0B515FC1C8CEC77229FA5241,40.744701385498,-73.7467727661133,Queens,A1,ALT 1 Enlargement,421793982,4163878,A1,333000,true,1404,6/12/2020,4/10/2021 12:00,69-24,229 ST,411,LIN DEVELOPMENT INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E610000000000040837C52C0000000A0535F4440,4555,0101000020110F00003D366A27A6665FC11E6780D92AFA5241,40.7447395324707,-73.9455108642578,Queens,NB,New Building,420651912,4596913,NB,179062832,false,1209884,5/12/2020,2/17/2021 12:00,22-44,JACKSON AVENUE,402,G & M REALTY LP,RESIDENTIAL: APARTMENT HOUSES,48,1122
0101000020E610000000000080BE7452C0000000E0595F4440,4556,0101000020110F000092E5DC0F74595FC1052B1CDB31FA5241,40.744930267334,-73.8241271972656,Queens,A1,ALT 1 Enlargement,421656648,4140129,A1,220000,true,297,11/25/2020,8/15/2021 12:00,139-46,58 AVE,407,168 CONSTRUCTION CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E6100000000000807A7452C0000000E05A5F4440,4557,0101000020110F0000D8859F8E00595FC1247E16FA32FA5241,40.7449607849121,-73.8199768066406,Queens,NB,New Building,421564881,4116778,NB,617012,false,4169,6/14/2019,12/31/2020 12:00,146-35,BOOTH MEMORIAL AVENUE,407,ZR WHITESTONE INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E6100000000000807A7452C0000000E05A5F4440,4558,0101000020110F0000D8859F8E00595FC1247E16FA32FA5241,40.7449607849121,-73.8199768066406,Queens,NB,New Building,421564916,4116778,NB,44400,false,300,7/15/2019,1/31/2021 12:00,146-35,BOOTH MEMORIAL AVENUE,407,ZR WHITESTONE INC,UTILITY / MISCELLANEOUS,1,
0101000020E6100000000000400D6D52C0000000805B5F4440,4559,0101000020110F0000F0A6B917634C5FC173F672AD33FA5241,40.7449798583984,-73.7039337158203,Queens,A1,ALT 1 Enlargement,420636100,4178283,A1,262654,true,999,8/28/2019,1/31/2021 12:00,80-47,267 STREET,413,SAHARA CONSTRUCTION CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000000357F52C0000000E05C5F4440,4560,0101000020110F00008EFC84C3396B5FC13D3E0B3835FA5241,40.7450218200684,-73.9876098632812,Manhattan,A1,ALT 1 Enlargement,122414002,1015729,A1,39844234,true,68093,8/6/2020,5/12/2021 12:00,250,5TH AVE,105,ANTHONY T. RINALDI LLC,"RESIDENTIAL: HOTELS, DORMITORIES",23,33
0101000020E610000000000020DE7852C0000000C05E5F4440,4561,0101000020110F00008B5DB22575605FC1B3D1205237FA5241,40.7450790405273,-73.888557434082,Queens,NB,New Building,421617717,4036991,NB,1801900,false,12175,3/16/2020,2/25/2021 12:00,41-12,77 ST,404,TASLIM CONSTRUCTION INC,BUSINESS,4,
0101000020E6100000000000C0D77452C0000000C05E5F4440,4562,0101000020110F00000E0A9EF39E595FC1B3D1205237FA5241,40.7450790405273,-73.8256683349609,Queens,A1,ALT 1 Enlargement,420605900,4140108,A1,455150,true,1269,10/8/2020,3/29/2021 12:00,58-01,MAIN STREET,407,SMVP MGMT INC,BUSINESS,2,2
