ISN_DOB_BIS_VIOL,BORO,BLOCK,LOT,ISSUE_DATE,VIOLATION_TYPE_CODE,VIOLATION_NUMBER,HOUSE_NUMBER,STREET,DISPOSITION_DATE,DISPOSITION_COMMENTS,VIOLATION_CATEGORY,VIOLATION_TYPE
2475144,4,372,22,20200825,C,20-01190,30-16,37 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474952,3,4659,46,20200823,C,CNE02DG,211,EAST 53 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474861,3,3439,19,20200821,C,20-01185,76,COOPER STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474872,5,5253,25,20200821,C,CER02FC,12,HOLLY AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474864,4,2477,5,20200821,C,E40401NB,84-14,QUEENS BOULEVARD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474657,4,11238,67,20200820,C,20-01179,221-43,113 DRIVE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475078,3,4829,1,20200820,C,0901VB,451,CLARKSON AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474580,3,898,23,20200819,C,20-01177,328,21 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474483,1,1628,68,20200818,C,20-01170,112,EAST 101 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474467,2,2849,1,20200818,C,20-01171,1700,JEROME AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475136,3,7654,1,20200817,C,1802RH,3623,AVENUE M,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474457,2,4706,16,20200817,C,20-01172,1131,EAST 211 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474845,3,1265,74,20200817,C,0801VB,803,EASTERN PARKWAY,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474958,3,1265,74,20200817,C,0802VB,803,EASTERN PARKWAY,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474843,3,1265,74,20200817,C,0803VB,803,EASTERN PARKWAY,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474433,1,1244,8,20200817,C,20-01167,307,WEST 79 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474435,4,3724,74,20200815,C,CNE01FC,78-35,65 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474436,4,3724,73,20200815,C,CNE02FC,78-37,65 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474197,1,838,1,20200814,C,20-01163,990,6 AVENUE,20200820,SWO RESCINDED BY BOROUGH COMMISSIONER.,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2474199,1,838,1,20200814,C,20-01162,990,6 AVENUE,20200819,OK TO DISMISSED BORO. COMM. SWO         RESCINDED.,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2474195,3,1217,83,20200814,C,CC08PC02,545,ST MARKS AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474205,1,1970,16,20200814,C,20-01164,450,WEST 131 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474173,4,2711,71,20200813,C,CCVM03,61-56,56 DRIVE,,,VP-VIOLATION UNSERVED ECB-ACTIVE,C-CONSTRUCTION
2474249,3,5071,22,20200813,C,CN1401RA,38,STRATFORD ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474557,1,1005,7501,20200813,C,LL10501RF,135,WEST 52 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474108,1,1167,10,20200813,C,CC07CZ03,241,WEST 75 STREET,,,VP-VIOLATION UNSERVED ECB-ACTIVE,C-CONSTRUCTION
2474202,3,6270,39,20200812,C,20-01165,7904,16 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474076,1,774,1,20200812,C,ER01MP,282,8 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475137,3,7331,46,20200812,C,1501RH,2613,AVENUE U,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474084,2,3061,119,20200812,C,NE01FC,551,EAST 179 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474086,2,3061,119,20200812,C,NE02KC,551,EAST 179 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474092,3,1850,15,20200812,C,ER02SM,94,MACON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474090,3,1850,13,20200812,C,ER01SM,1,VERONA PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473645,3,1971,35,20200811,C,CC03JL02,151,QUINCY STREET,20200811,OK TO DISMISS. VIOLATIONS WERE ENTERED  UNDER INCORRECT ADDRESS,VP*-VIOLATION UNSERVED ECB- DISMISSED,C-CONSTRUCTION
2473646,3,1971,35,20200811,C,CC03JL03,151,QUINCY STREET,20200811,OK TO DISMISS. VIOLATIONS ENTERED UNDER INCORRECT ADDRESS.,VP*-VIOLATION UNSERVED ECB- DISMISSED,C-CONSTRUCTION
2474075,1,1456,1,20200810,C,ER01ND,1114,1 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473853,4,11654,23,20200810,C,ER01TQ,114-38,128 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474437,4,11654,22,20200810,C,CER02TQ,114-36,128 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473500,1,915,2,20200810,C,E10601MM,509,3 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474948,3,427,46,20200810,C,CEU30601NH,200,4 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473616,1,199,27,20200810,C,20-01149,96,BAYARD STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475083,3,1443,44,20200810,C,1603VB,2427,DEAN STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475084,3,1443,44,20200810,C,1602VB,2427,DEAN STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475086,3,1443,44,20200810,C,1601VB,2427,DEAN STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474096,2,2745,35,20200810,C,20-01159,1165,HOE AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474438,4,13114,41,20200809,C,CNE04DG,136-20,221 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473840,4,9312,55,20200809,C,20-01146,104-19,93 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473622,4,5211,140,20200809,C,20-01154,46-31,BOWNE STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474056,3,7334,77,20200809,C,ER01TQ,2019,EAST 29 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474057,3,4865,11,20200809,C,ER03TQ,292,EAST 45 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474058,3,4865,8,20200809,C,ER04TQ,286,EAST 45 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474052,4,15683,1,20200809,C,ER03CM,14-21,GRANADA PLACE,,DELETED BY KGO ON 08/13/20 BECAUSE CORRECTION OF DESCRIPTION,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473888,4,10433,16,20200809,C,NE01DG,187-15,HILLBURN AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473490,3,1279,72,20200809,C,20-01145,1417,PRESIDENT STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474047,3,6263,50,20200808,C,ER04LP,2069,79 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474070,4,10466,124,20200808,C,ER04ND,197-15,91 ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473854,2,5536,29,20200808,C,ER01TH,1001,BRINSMADE AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474434,3,3401,33,20200808,C,CER12LP,1254,BUSHWICK AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474072,3,8277,10,20200808,C,ER01ND,1593,CANARSIE ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474071,5,211,73,20200808,C,ER04JM,601,CARY AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474045,3,5237,134,20200808,C,ER03JM,684,EAST 17 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474048,4,11976,65,20200808,C,ER03LP,114-11,INWOOD STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473899,5,224,76,20200808,C,ER11LP,239,MYRTLE AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473927,4,4414,99,20200807,C,E0701MA,140-03,32 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473515,3,2015,10,20200807,C,20-01140,445,GRAND AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473337,4,11725,3,20200807,C,CNE01EC,130-52,LEFFERTS BOULEVARD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474054,3,4842,33,20200807,C,ER02LP,471,LENOX ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473346,4,3459,35,20200807,C,20-01135,1829,MADISON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473492,3,2706,23,20200807,C,20-01142,673,MEEKER AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473495,1,410,50,20200807,C,NE01EC,111,RIVINGTON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473350,3,545,26,20200807,C,20-01139,336,VAN BRUNT STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473312,3,7097,1,20200806,C,20-01131,122,AVENUE T,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473311,3,7097,1,20200806,C,20-01130,122,AVENUE T,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473296,4,15806,33,20200806,C,20-01129,216,BEACH 31 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473856,1,1322,7502,20200806,C,LL10602CN,250,EAST 49 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473328,3,4720,12,20200806,C,20-01133,496,EAST 49 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474949,1,1432,120,20200806,C,CEU10801NH,251,EAST 77 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473876,3,1622,11,20200806,C,0301VB,942,GREENE AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473340,5,64,152,20200806,C,CER01CM,14,PENDLETON PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473327,3,4720,7,20200806,C,20-01132,4818,SNYDER AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473237,4,11677,39,20200805,C,20-01127,134-07,116 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475085,1,1550,51,20200805,C,FEU10802FF,1694,2 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474193,4,13160,46,20200805,C,FEU41301PN,134-24,233 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473198,3,427,46,20200805,C,20-01121,200,4 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473271,3,5998,57,20200805,C,20-01126,463,82 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474101,3,2335,22,20200805,C,FEU30101XC,204,BEDFORD AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473870,3,1996,6,20200805,C,0304VB,455,FRANKLIN AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473308,3,1390,26,20200805,C,CERTH02,1334,LINCOLN PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473289,3,1856,5,20200805,C,CER03CM,150,MACDONOUGH STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473291,3,1856,7,20200805,C,CER05CM,154,MACDONOUGH STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473290,3,1856,6,20200805,C,CER04CM,152,MACDONOUGH STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473196,3,211,32,20200805,C,20-01120,65,MIDDAGH STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473197,3,211,32,20200805,C,20-01119,65,MIDDAGH STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473314,2,3319,64,20200805,C,E0701RO,5,MINERVA PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473867,3,1807,37,20200805,C,0306VB,228,QUINCY STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473871,3,1763,24,20200805,C,0301VB,175,SPENCER STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473236,4,3547,1,20200805,C,20-01128,861,WYCKOFF AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473831,1,556,44,20200804,C,LLFA02RF,111,4 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473191,3,1036,12,20200804,C,20-01118,519,6 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473295,4,839,21,20200804,C,CER03CM,27-01,ASTORIA BOULEVARD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473316,4,780,24,20200804,C,CNE04EC,43-21,ASTORIA BOULEVARD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474656,4,15805,10,20200804,C,C1401AK,25-Feb,BEACH 29 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473071,3,2335,22,20200804,C,20-01115,206,BEDFORD AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473286,3,1856,73,20200804,C,CER06CM,83,DECATUR STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473285,3,1856,74,20200804,C,CER05CM,79,DECATUR STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473067,1,558,47,20200804,C,20-01117,113,EAST 12 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473277,1,1432,120,20200804,C,CER01CM,251,EAST 77 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473276,1,1432,20,20200804,C,CER02CM,249,EAST 77 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473869,3,2234,2,20200804,C,0101RB,93,HARRISON AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473875,3,2234,2,20200804,C,0102RB,93,HARRISON AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473068,3,3933,40,20200804,C,20-01110,138,HENDRIX STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473873,3,2206,41,20200804,C,00103RB,233,HEWES STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473297,4,420,1,20200804,C,CER02LP,28-07,JACKSON AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475076,3,1852,58,20200804,C,0303AA,113,MACDONOUGH STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475075,3,1525,149,20200804,C,0302AA,109,MACDOUGAL STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473792,3,3669,22,20200804,C,E0501JR,50,PENNSYLVANIA AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473066,1,1960,42,20200804,C,20-01112,305,WEST 136 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473284,3,7060,19,20200804,C,E31301AK,2926,WEST 19 STREET,20200806,VIOLATION COMPLIED WITH,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2473275,1,1870,7502,20200804,C,CNE02EC,215,WEST 98 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473283,3,3349,40,20200804,C,CNE03GS,75,WOODBINE STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473281,3,3349,42,20200804,C,CNE01GS,71,WOODBINE STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472951,4,4550,6,20200803,C,20-01104,155-15,14 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472941,3,850,51,20200803,C,20-01102,765,58 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472948,4,9785,42,20200803,C,20-01099,161-07,85 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472952,3,2000,24,20200803,C,20-01105,1238,BEDFORD AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474094,3,2000,24,20200803,C,FEU30302PN,1238,BEDFORD AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473802,1,921,43,20200803,C,LL10601KI,338,EAST 15 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472949,4,3340,24,20200803,C,20-01107,113-02,QUEENS BOULEVARD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473783,3,6266,44,20200802,C,1003HP,7922,12 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473300,4,9699,49,20200801,C,CER01CM,87-33,139 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473301,4,9699,56,20200801,C,CER03CM,139-14,87 ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472809,1,1553,1,20200731,C,20-01094,1732,2 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473280,1,1550,50,20200731,C,CNE02KC,1696,2 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473305,4,10008,26,20200731,C,CNE05KC,143-33,97 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475093,3,1435,15,20200731,C,FEU31601PN,2274,ATLANTIC AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475089,3,1435,14,20200731,C,FEU31602PN,2272,ATLANTIC AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472828,3,4079,31,20200731,C,20-01095,938,DUMONT AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472789,1,116,46,20200731,C,20-01092,35,MADISON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472790,1,116,46,20200731,C,20-01091,35,MADISON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473317,3,1233,6,20200731,C,E0801DG,105 A,ROGERS AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473790,3,1233,7,20200731,C,E0801JR,105,ROGERS AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472682,1,915,2,20200730,C,E0602JR,509,3 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472679,3,8205,50,20200730,C,20-01088,1132,EAST 98 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472681,4,190,2,20200730,C,20-01086,39-31,QUEENS BOULEVARD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472781,3,2315,14,20200730,C,ER01LS,525,UNION AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473817,3,5241,31,20200728,C,LLFA01CN,1111,OCEAN AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472388,1,1208,137,20200728,C,20-01070,6,WEST 95 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472552,4,1519,24,20200728,C,CNE01KC,74-26,WOODSIDE AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472295,4,5022,14,20200727,C,20-01065,143-06,38 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472297,4,180,58,20200727,C,20-01063,50-32,43 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472320,3,810,36,20200727,C,20-01069,770,52 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473499,3,3290,8,20200727,C,FEU30401XC,219,IRVING AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472802,3,5129,40,20200727,C,1705GB,937,ROGERS AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472803,3,5129,40,20200727,C,1704GB,937,ROGERS AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472634,4,11773,93,20200727,C,FEU41003XC,134-02,SUTTER AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472318,1,830,14,20200727,C,20-01068,41,WEST 28 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472310,3,5924,4,20200725,C,CER04MP,7315,10 AVENUE,,,VW-VIOLATION WORK WITHOUT PERMIT - ACTIVE,C-CONSTRUCTION
2472290,4,6903,1,20200725,C,E0804SL,64-1,174 STREET,20200727,EMERGENCY WORK COMPLETED,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2472291,4,6902,39,20200725,C,E0802SL,64-06,174 STREET,20200727,EMERGENCY WORK COMPLETED,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2472311,3,8134,301,20200724,C,CER02JM,10401,FOSTER AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472287,3,2319,13,20200724,C,E0101AK,146,NORTH 8 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472286,3,2319,13,20200724,C,E0102AK,146,NORTH 8 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472797,3,448,27,20200724,C,0903GB,564,PRESIDENT STREET,,DELETED BY AFG ON 08/03/20 BECAUSE VIOLATION ON THE WRONG ADDRESS,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472793,3,4826,9,20200724,C,0902GB,550,SCHENECTADY AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472795,3,4826,9,20200724,C,0901GB,550,SCHENECTADY AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473628,3,296,29,20200723,C,FEU30602IK,183,CONGRESS STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472089,1,1771,44,20200723,C,20-01050,170,EAST 123 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472072,3,1664,77,20200723,C,20-01052,361,MACON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472073,3,1664,77,20200723,C,20-01053,361,MACON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472069,3,1824,60,20200723,C,20-01049,393 A,PUTNAM AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472080,3,1248,54,20200723,C,CER01CM,881,SAINT JOHN'S PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472081,3,1248,54,20200723,C,CER02CM,881,SAINT JOHN'S PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472676,3,476,32,20200723,C,FEU30601IK,476,SMITH STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473497,3,1384,35,20200723,C,FEU30802PN,1412,ST JOHNS PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472096,3,1590,4,20200723,C,20-01059,400,VERNON AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472378,1,915,2,20200722,C,E10602MM,509,3 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472308,3,886,44,20200722,C,CER06DE,564,7 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472079,3,3922,66,20200722,C,CER02CM,171,ARLINGTON AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2471947,3,1392,78,20200722,C,20-01043,1225,EASTERN PARKWAY,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472084,3,8224,22,20200722,C,CER04DM,1625,ROCKAWAY PARKWAY,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472083,3,1384,35,20200722,C,CER01JG,1412,ST JOHN PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472086,4,11773,92,20200722,C,CER02GD,134-06,SUTTER AVENUE,20200724,OK TO DISMISS VACATE FULLY RESCINDED,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2471852,3,5346,3,20200721,C,20-01040,3915,14 AVENUE,20200812,OK TO DISMISS. SWO FULLY RESCINDED,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2472654,3,6408,16,20200721,C,1103HP,121,BAY 23 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472661,3,6408,16,20200721,C,1104HP,121,BAY 23 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473021,3,3421,9,20200721,C,30401TV,1321,BUSHWICK AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473022,3,3421,9,20200721,C,30402TV,1321,BUSHWICK AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473863,3,2379,35,20200721,C,0104RB,105,GRAND STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2471873,2,3459,11,20200721,C,20-01037,212,PUGSLEY AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2471874,2,3459,11,20200721,C,20-01038,212,PUGSLEY AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2471850,4,3847,10,20200721,C,20-01039,87-37,UNION TURNPIKE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472078,3,5613,48,20200720,C,CER01DM,967,46 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2471567,3,6008,41,20200720,C,20-01030,8206,5 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472381,3,3408,56,20200720,C,FEU30401XC,21,ELDERT STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2471570,1,2083,15,20200720,C,20-01031,529,WEST 151 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2471565,4,13728,1,20200719,C,CNE01DG,235-20,147 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2472077,3,5613,7501,20200719,C,CER03DM,965,46 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
